,ALGN,AAPL,PANW,AMD,ZS,MDLZ,XEL,VRSN,INSM,ON,WDAY,ENPH,DLTR,ADI,COST,ABNB,CEG,MSFT,GOOGL,CDNS,PYPL,FAST,JD,MTCH,SNPS,LULU,CMCSA,ADBE,ADSK
2024-09-30,0.0038988853242031274,0.5141586381583692,0.4590104375796136,0.2406724850385461,0.037479735301698125,0.0713619850531253,0.005474032181400856,0.6839028119031819,0.7021500257503317,0.1664953968338817,0.017512377219109476,0.050806721339858196,0.37030112873004817,0.7983066134647534,0.9260901906871106,0.00014508755265985052,0.7716868079435505,0.6762911796672882,0.6625817963007926,0.11191100142476296,0.5215787689783338,0.31656331247084013,0.13024925279171073,0.003554732541615091,0.09330181021539885,0.6917284953322468,0.40049414668224703,0.1322431588987285,0.2584416213765347
2024-10-31,0.04215074217662884,0.5617533390541181,0.42107234614131206,0.06268973475768458,0.23012407605551521,0.0017753437091596602,0.08605399710682105,0.5472102643144519,0.7441804027463603,0.05929942166747648,0.19762526634486266,0.0004153089771739005,0.6800477464136514,0.7631980061034438,0.8982107530303184,0.05737608190919152,0.7844890923168221,0.533297703425617,0.5891063074371737,0.005619119382611948,0.5821333285266518,0.2625400204684216,0.3708744918722796,0.0687206566779901,0.012528214912818192,0.8044122298269509,0.16865241308776036,0.2807635857919566,0.27811434966401827
2024-11-29,0.373097989810682,0.627195130739291,0.41251353881867114,0.034209072879387126,0.28035395774089045,0.0516304869127896,0.2857482507802651,0.41148059642035906,0.7339302371236001,0.25884417231839196,0.3021029241120401,0.3338197808989193,0.8492961370993827,0.631265691874756,0.9054788547794633,0.23872642030536595,0.7563824179611083,0.36829170711547554,0.528755738967712,0.0166161634019224,0.6117236855094512,0.28731124094640703,0.5022155813337974,0.0003077269132349958,0.04075114562721582,0.74164651205474,0.02178952573111692,0.2307989942516263,0.3076448361977283
2024-12-31,0.6499343787408214,0.7796766898804708,0.48427875492113237,0.4004748819267693,0.1719507596779124,0.22222878821597358,0.5430237514363443,0.052583577085243416,0.7198891784540283,0.26487729679392014,0.1282888676824473,0.49403237099923003,0.888408985635149,0.5044813190947621,0.9118226476809739,0.3356326280271905,0.6771562294648956,0.27933083684848403,0.5073465589797027,0.014871291189038516,0.7044127636155956,0.2725286353042041,0.5983867357492472,0.016781038405438542,0.11021908947766779,0.40690160367804207,0.009245083429138101,0.17555289000626373,0.4032093617453787
2025-01-31,0.7381787430684377,0.7985892644482987,0.5643427553276819,0.63788993051495,0.05075306280947667,0.3290755694461708,0.7553615945376487,0.09250265781342237,0.6725978563382309,0.391218013542579,0.03863833672572714,0.6475331192871128,0.8715686829885224,0.3557524794635659,0.8810198739661343,0.4572214346727238,0.6639517124987375,0.14664018714322702,0.5317000578492479,0.020201293711237134,0.7804155300315523,0.21792358943105483,0.5984887853460833,9.346052827896578e-05,0.312892797305248,0.11279020320859234,0.01713030026534379,0.20397908289191735,0.4973064609479294
2025-02-28,0.7555978710203675,0.7889685415383533,0.8185032792345177,0.7043817288858042,0.07007798219713635,0.3268186605103832,0.8904850298497605,0.412023117918796,0.6182324950961778,0.4687583325001502,0.022797643007630763,0.7379738501145654,0.8091994284808793,0.20434485264240165,0.8830753497510568,0.3368699036372086,0.6478189986755458,0.014364666040034613,0.4535641266516829,0.02349837220455453,0.6916715291167662,0.25086841127665027,0.5796767146403146,0.020094873941105762,0.36891829701191503,0.00025079438162778356,0.052655823113417766,0.17781211237695382,0.6380646628002922
2025-03-31,0.7495061686278439,0.6008400162101404,0.7091436214780008,0.7067638630963646,0.33404166950552205,0.22411213142096553,0.8773947482772542,0.6733956462982196,0.4993769873070455,0.5362846209684424,0.1360579491428784,0.7960280472775293,0.7532173854938216,0.03318833906142682,0.784086816056342,0.24803711860407518,0.39744422238860266,0.05660921401525454,0.15503341167318851,0.057362455711377436,0.44029542135370636,0.4710129940527813,0.5830095994719697,0.007753174638636895,0.46066213227185326,0.093177201823057,0.05405845388446173,0.2625845527732893,0.6134400702477245
2025-04-30,0.7368460090072309,0.1717632682267265,0.3973618518929374,0.7638762172153829,0.3557407729514489,0.16194272821805444,0.8525666377419892,0.8273154640911108,0.29876257234807035,0.6984976318393992,0.13896494271598558,0.8540462415567207,0.5890282794328799,0.20194381791513116,0.7113920055308407,0.2299951599241825,0.1590521490820056,0.257248222236638,0.00030075824451225586,0.07042892959228864,0.1494194195681825,0.6289186349268365,0.45591419730860683,0.013346829936381144,0.5921081402444891,0.06236885331978348,0.14907398283067375,0.5060907795574896,0.4434469970723055
2025-05-30,0.7062124492312396,0.002312233170270961,0.3134963073588046,0.773239764322554,0.44975910233028993,0.07358439157164576,0.8101429828422516,0.8494744547623035,0.0533531142221062,0.7807301543484144,0.2515400462629722,0.8953644270660702,0.27411944768688756,0.3174625435040067,0.6929304789988153,0.11883758848184833,0.21923773834319482,0.10217645722194746,0.013839028803123932,0.006045429122439883,0.06159061868601601,0.6600558105210178,0.4177532399456618,0.16477091823665857,0.5246522176414827,0.1013183014886796,0.28813492360977633,0.6662323124225686,0.3351311919702129
2025-06-30,0.6722909706183737,0.185042561371355,0.27195977322314435,0.5888502895046752,0.5210882171493543,0.04276162554345686,0.7052625504829843,0.9028417574109794,0.06706028793293428,0.7231751765727816,0.07683148592737044,0.904047774759371,0.0148412378633207,0.09986488744576494,0.6541651002450993,0.01752276321799462,0.3075083319753952,0.003469035424302769,0.0033152413568600103,0.014159174991590695,0.006885866104142102,0.642241925946799,0.273604504986119,0.3606276826288587,0.40209903023727034,0.023664530604034506,0.4424981628281215,0.8135268851470996,0.24691698535808781
2025-07-31,0.5236613996827137,0.26310379717908416,0.23912794695639084,0.17672384341091008,0.6949994866159539,0.014503469977835026,0.6743391063540054,0.9292789795207073,0.2484537273144405,0.5114489051117912,0.001068560618399439,0.9259121031158544,0.19795907468381913,0.0003938667924455741,0.47865640941290843,0.058243065711171105,0.34435030317443394,0.21319242124121796,0.042885141584980024,0.17362587474844227,0.04395069574551047,0.6525848576512038,0.07132323619189973,0.4105744201724971,0.018737710142141317,0.017841544262452325,0.5525777138682623,0.8114975250352254,0.1804172533682551
2025-08-29,0.6308778833058077,0.24010297379411527,0.04629748325557981,0.008924406599440604,0.7525429354326857,0.014547981461023651,0.6782998633906503,0.9063759272089706,0.44886959405771665,0.4138904310317335,0.22200826967290854,0.9234790554237726,0.691159065838092,0.026817213961113584,0.30647211181583545,0.000794365577637457,0.3061512762634514,0.34967710894602955,0.12176948353981654,0.27891150288995503,0.2509173078758421,0.6587005203347805,0.019355560609568334,0.07340181021021608,0.0461211357911705,0.24789037329322794,0.6366697571550297,0.8155069874657873,0.04784351250748409
2025-09-30,0.6763970132994807,0.08180931085698429,0.042201111827935955,0.025622196919618867,0.7566414360351106,0.003783693970757618,0.6526607690115619,0.8836102068450931,0.6007327849270463,0.30155507866942677,0.27016218455906527,0.8994874039604102,0.7702039608057574,0.1460577810788647,0.13733495814918095,0.08412286029672922,0.2701568488215772,0.4759846519833002,0.23302367860985118,0.34097665262516297,0.4369829177270885,0.6671879028578015,0.41584129308598794,0.00910230202550455,0.01868155171876118,0.5655197759055559,0.6937170883273306,0.7847941486211252,0.054580832731963125
2025-10-31,0.7161193874215689,0.002070617247568296,0.11602295945706342,0.3556555337405336,0.7794045924023234,0.05234322447788353,0.6354788880210307,0.7200785752883141,0.7251649032990337,0.1407210624583065,0.41637171196902145,0.8788422644978267,0.7191328168142563,0.3170380642256916,0.00023588032937793546,0.13803110868624768,0.46667295957271737,0.5864578156553583,0.3606243925058201,0.32629117339063973,0.41890478711910206,0.5888592846596067,0.28849853185478225,0.13774171889496523,0.00023072649737554407,0.8063582111579843,0.7069074720175252,0.7598176445505993,0.06638859428674737
2025-11-28,0.7107651720455983,0.07090241567264355,0.18776894709216696,0.5949846967182529,0.7713917062559497,0.0026610226772757484,0.7206444558990817,0.503222897581908,0.7933694204255992,0.04603822634882171,0.48176400521371576,0.9057508370299623,0.6774760313444834,0.3770583185691073,0.1165410657771464,0.18080186384672392,0.4880357488128586,0.5879195462174298,0.49664200251461854,0.3197619088566006,0.4294352788202723,0.5103034190350105,0.40774196736288504,0.14596525309683295,0.013591913089400665,0.900205429662994,0.7024302774370085,0.749828876697763,0.11812868563910373
2025-12-31,0.5380217917658169,0.33436208499777365,0.2190207864850252,0.7654251058968866,0.49745709474400746,0.0788604596145126,0.7279518545724268,0.20912245609709967,0.8554949186459513,0.040893855367446386,0.48488030527717707,0.8721043747033091,0.7150026374516071,0.5396841710262013,0.272940263985502,0.07989855408340552,0.48972757613648876,0.5999609362864629,0.669003085487539,0.3878233833019732,0.3962163147062887,0.4149334664462959,0.5483480086466701,0.1506584278471339,0.009732165316838737,0.8354642140987355,0.6864211089376263,0.6894238028232528,0.21539838691399815
2026-01-30,0.3039686715936505,0.49734119045061365,0.0939053470564215,0.8509524761802285,0.15964197869739805,0.37018186394464303,0.6538707350802757,0.01796910284142461,0.8464314149397334,0.309957858522537,0.5479376467708575,0.7445011820817895,0.7367251346850386,0.6630612759081147,0.39766521880081784,0.019497599509149754,0.47603634169989106,0.48764386781749547,0.835848831506038,0.38939553996289455,0.38122054395898475,0.2772996320021067,0.6769215865847806,0.12395367475920249,0.00010505828437690212,0.7310185240426237,0.6002123486651192,0.6983010132599714,0.08397304567377839
2026-02-27,0.05749461802262734,0.7019323692899702,0.00010807388853539823,0.8349155353902306,0.0022221491279228456,0.5483000684200154,0.6554027099217767,0.12357118516406129,0.8073009526383712,0.5620778409276042,0.49405973648496726,0.39643428015010096,0.7262862394376062,0.7623737174579939,0.11965166618168743,4.032101946771505e-06,0.42922759473709726,0.1464256105862204,0.9314203588766554,0.21886697231384922,0.39976420631459675,0.22989424337197706,0.6810521105949108,0.13265122999576218,0.004626934261585003,0.6607992087329586,0.3790854622538812,0.6764024224282363,0.0014083000777199706
2026-03-31,0.00884547089286769,0.7473429097205313,0.07669969869466198,0.7301319651877969,0.2297800134530502,0.5950044200003286,0.6737012726135801,0.40710639129677195,0.6837014952851841,0.5797065807831392,0.596549177249154,0.12160421557201107,0.5679471106792566,0.8347809368323229,0.05832257802065277,0.01400970256553613,0.2146213184115633,0.007158291847824572,0.9092303095316812,0.005893196229868614,0.5551435257971604,0.1480070991957022,0.6617716030805485,0.03640397279414376,0.08782951222487245,0.6111917471111552,0.20454903584648731,0.7014267317238039,0.1479194780553288
