is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
5.48,6.78,15.93,11.79,0.09,0.24,0.13,0.33,-26.82,-6.28
5.2,46.74,14.32,17.59,0.08,2.43,0.11,3.98,-20.5,-11.03
-0.03,16.57,13.84,13.99,-0.29,0.9,-0.37,1.34,-30.38,-6.16
8.1,14.91,17.51,22.93,0.23,0.48,0.31,0.62,-24.79,-12.34
11.0,62.31,14.16,18.68,0.49,3.12,0.74,4.97,-18.53,-11.37
17.88,-4.49,19.02,13.75,0.73,-0.62,1.11,-0.99,-26.43,-12.11
5.05,-3.03,16.85,7.55,0.06,-0.93,0.09,-1.53,-32.29,-5.52
8.06,36.9,10.26,25.88,0.4,1.27,0.63,1.73,-17.65,-16.83
2.28,8.1,20.79,20.39,-0.08,0.2,-0.1,0.29,-28.5,-15.25
14.54,32.12,14.51,11.56,0.73,2.43,1.07,3.66,-13.93,-8.98
8.73,9.6,16.69,17.93,0.28,0.31,0.38,0.52,-32.9,-13.3
-2.6,45.25,18.85,11.69,-0.35,3.53,-0.47,5.09,-22.74,-3.5
30.12,-18.41,15.6,39.9,1.67,-0.56,2.63,-0.8,-14.61,-23.86
-6.06,4.61,16.77,19.18,-0.6,0.03,-0.86,0.05,-40.99,-14.48
-5.49,51.58,18.82,19.83,-0.5,2.4,-0.7,3.02,-29.7,-9.59
11.3,10.87,15.73,13.75,0.46,0.5,0.63,0.82,-22.74,-9.06
20.87,9.78,18.48,20.25,0.91,0.29,1.13,0.49,-26.2,-9.93
11.3,27.77,17.08,14.49,0.43,1.64,0.56,2.51,-24.12,-6.91
7.35,-18.01,16.32,21.65,0.21,-1.02,0.25,-1.44,-33.19,-16.14
12.96,-1.53,16.87,18.16,0.53,-0.3,0.69,-0.33,-21.29,-12.52
3.64,15.36,16.96,14.76,-0.02,0.77,-0.03,1.08,-20.86,-6.42
15.92,-4.07,15.14,21.8,0.79,-0.37,1.05,-0.48,-19.98,-16.31
8.24,-1.92,16.39,26.09,0.26,-0.23,0.38,-0.4,-14.01,-14.96
