is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
5.97,-14.56,19.3,16.56,0.1,-1.12,0.13,-1.72,-21.19,-10.76
10.43,38.89,18.42,13.13,0.35,2.66,0.51,4.03,-22.48,-4.08
6.41,-22.32,15.45,17.23,0.16,-1.53,0.22,-1.77,-22.4,-18.68
-5.94,12.56,15.73,27.94,-0.63,0.31,-0.84,0.43,-26.77,-14.4
0.04,7.19,15.8,13.32,-0.25,0.24,-0.32,0.36,-25.01,-6.59
3.92,11.75,17.26,10.67,-0.0,0.73,-0.01,1.65,-21.29,-8.07
3.64,-7.87,14.1,12.99,-0.03,-0.91,-0.04,-1.32,-25.13,-12.48
3.16,44.55,18.69,19.94,-0.05,2.03,-0.07,3.73,-21.7,-11.16
3.39,-19.77,16.85,22.45,-0.04,-1.06,-0.05,-1.27,-25.81,-15.24
-0.74,28.07,13.4,15.59,-0.35,1.54,-0.49,2.42,-24.37,-8.62
-1.74,-19.54,15.15,24.15,-0.38,-0.97,-0.46,-1.15,-32.93,-18.2
24.22,34.07,15.92,16.49,1.27,1.82,1.98,2.13,-14.52,-7.02
9.98,-7.48,17.91,17.83,0.33,-0.64,0.4,-0.9,-25.56,-12.22
1.78,-0.94,17.72,12.12,-0.13,-0.41,-0.18,-0.61,-20.32,-8.13
10.38,11.32,19.23,21.64,0.33,0.34,0.46,0.47,-25.68,-11.81
11.81,20.78,13.59,16.24,0.57,1.03,0.83,1.45,-14.68,-8.55
5.06,64.52,11.56,15.18,0.09,3.99,0.14,6.97,-14.81,-6.8
4.82,37.42,13.12,17.81,0.06,1.88,0.09,3.2,-16.59,-6.93
20.52,11.82,20.25,20.89,0.82,0.37,1.06,0.44,-17.25,-14.16
12.27,43.8,14.83,17.3,0.56,2.3,0.71,4.54,-16.46,-6.69
3.0,-4.36,19.22,20.34,-0.05,-0.41,-0.07,-0.54,-38.72,-15.08
0.72,-6.13,17.3,21.14,-0.19,-0.48,-0.25,-0.54,-24.37,-13.89
25.9,56.54,17.75,17.82,1.23,2.95,1.68,4.05,-17.43,-10.43
