date,current_value,cum_pnl
2023-01-13,123603.9477168846,3174.5221862602193
2023-01-17,122800.27172470093,2370.8461940765337
2023-01-18,120923.96323768616,494.5377070617635
2023-01-19,119788.21264469146,-641.2128859329266
2023-01-20,122628.27399204254,2198.848461418148
2023-01-23,123817.62971981047,3388.2041891860918
2023-01-24,123997.3499158287,3567.924385204311
2023-01-25,123958.93342758178,3529.5078969573933
2023-01-26,125791.13392295837,5361.708392333981
2023-01-27,126385.45099702835,5956.025466403957
2023-01-30,124211.48978839873,3782.064257774349
2023-01-31,127645.41367658615,7215.988145961757
2023-02-01,127634.9428554535,1737.1895237731967
2023-02-02,128895.12950187683,2997.376170196537
2023-02-03,126338.30394889832,440.550617218021
2023-02-06,127141.04996192933,1243.296630249027
2023-02-07,128383.57687705994,2485.8235453796424
2023-02-08,126148.2261733246,250.4728416442905
2023-02-09,124740.18969543457,-1157.5636362457244
2023-02-10,127710.39849113465,1812.645159454349
2023-02-13,128020.29411865235,2122.5407869720493
2023-02-14,128192.53773239136,2294.784400711063
2023-02-15,129262.59678527832,3364.843453598026
2023-02-16,128640.3774861908,2742.6241545105013
2023-02-17,128774.96641525268,2877.213083572391
2023-02-21,124589.43425735473,-1308.3190743255582
2023-02-22,123278.85769874573,-2618.895632934567
2023-02-23,123413.77523208619,-2483.978099594113
2023-02-24,123644.07647895813,-2253.6768527221648
2023-02-27,122368.57115264895,-3529.182179031369
2023-02-28,118885.12829933167,-7012.625032348629
2023-03-01,117109.79577789307,4.93464824558032e-12
2023-03-02,118929.62929290772,1819.8335150146534
2023-03-03,120093.57231914521,2983.776541252141
2023-03-06,120039.44952121735,2929.6537433242847
2023-03-07,117609.02034046174,499.2245625686694
2023-03-08,118860.68051177979,1750.8847338867236
2023-03-09,117857.5813740158,747.7855961227467
2023-03-10,115763.51094295502,-1346.2848349380445
2023-03-13,118817.61720916748,1707.821431274419
2023-03-14,120046.02581176758,2936.2300338745167
2023-03-15,122853.43398654938,5743.638208656316
2023-03-16,123683.6941520691,6573.89837417603
2023-03-17,122973.82970001221,5864.033922119145
2023-03-20,123961.2866374588,6851.49085956574
2023-03-21,120380.77681499481,3270.9810371017506
2023-03-22,117783.84007457734,674.04429668427
2023-03-23,116883.6139548111,-226.18182308196538
2023-03-24,121114.15101402282,4004.355236129766
2023-03-27,120511.03868659973,3401.2429087066703
2023-03-28,120954.41755786896,3844.621779975896
2023-03-29,123148.90494434358,6039.109166450506
2023-03-30,123943.47525844575,6833.679480552679
2023-03-31,124823.2744694519,7713.478691558843
2023-04-03,123793.13934925079,0.0
2023-04-04,124019.49565723419,226.35630798339844
2023-04-05,125579.90093746185,1786.7615882110595
2023-04-06,126830.01534749987,3036.8759982490537
2023-04-10,127821.20190231325,4028.0625530624393
2023-04-11,128738.332672863,4945.193323612213
2023-04-12,128199.42964519502,4406.290295944214
2023-04-13,129124.60541391373,5331.466064662934
2023-04-14,127244.92916316986,3451.7898139190675
2023-04-17,126135.11340074541,2341.974051494599
2023-04-18,125009.23968097687,1216.1003317260743
2023-04-19,125345.22828041078,1552.088931159973
2023-04-20,125016.7942624283,1223.6549131774902
2023-04-21,125656.36842924118,1863.2290799903872
2023-04-24,126190.98926488878,2397.8499156379703
2023-04-25,125338.78361827851,1545.64426902771
2023-04-26,122475.66422851563,-1317.4751207351683
2023-04-27,124751.83579072953,958.6964414787294
2023-04-28,125392.5837110138,1599.4443617630006
2023-05-01,124313.59175033569,-627.2937212562504
2023-05-02,122895.08098861694,-2045.8044829750006
2023-05-03,122666.54359397887,-2274.341877613062
2023-05-04,124236.2628225708,-704.6226490211434
2023-05-05,125907.0240585327,966.1385869407707
2023-05-08,123114.60015068053,-1826.2853209114023
2023-05-09,124053.9720967102,-886.913374881739
2023-05-10,125695.24227531432,754.3568037223868
2023-05-11,124381.41371940612,-559.4717521858165
2023-05-12,124994.03983528136,53.15436368942778
2023-05-15,124309.95458564757,-630.9308859443611
2023-05-16,120864.70370437621,-4076.1817672157235
2023-05-17,121998.2275653076,-2942.657906284327
2023-05-18,122007.9115663147,-2932.973905277247
2023-05-19,122168.9973021698,-2771.888169422144
2023-05-22,123599.56286689758,-1341.322604694361
2023-05-23,123169.4467086792,-1771.438762912745
2023-05-24,121686.82895858763,-3254.056513004298
2023-05-25,120079.49496147156,-4861.390510120386
2023-05-26,120198.52614723206,-4742.359324359889
2023-05-30,120481.77142433167,-4459.114047260279
2023-05-31,120785.75196472168,-4155.133506870265
2023-06-01,123217.61108001709,-6732.961932315821
2023-06-02,125265.90940803528,-4684.663604297633
2023-06-05,125872.13247051238,-4078.440541820521
2023-06-06,126609.14471889497,-3341.4282934379526
2023-06-07,129976.00606132508,25.43304899216173
2023-06-08,129534.64432106019,-415.9286912727305
2023-06-09,127977.57347713472,-1972.999535198207
2023-06-12,127814.11282882691,-2136.4601835060066
2023-06-13,128729.86570831298,-1220.7073040199225
2023-06-14,128598.89971931459,-1351.6732930183357
2023-06-15,131072.41826595308,1121.845253620153
2023-06-16,131784.9998714447,1834.4268591117911
2023-06-20,130109.54342205048,158.97040971756496
2023-06-21,130499.68388210298,549.1108697700549
2023-06-22,129825.86758033754,-124.70543199538656
2023-06-23,127236.4868195343,-2714.0861927986093
2023-06-26,129277.85914173127,-672.7138706016494
2023-06-27,129749.53320365906,-201.03980867385349
2023-06-28,126543.06489543915,-3407.508116893763
2023-06-29,127230.5209336853,-2720.052078647608
2023-06-30,128541.73824623108,-1408.834766101832
2023-07-03,129707.66366207122,0.0
2023-07-05,131567.84424468994,1860.1805826187133
2023-07-06,131056.92388877868,1349.2602267074585
2023-07-07,129839.1265858078,131.46292373657224
2023-07-10,128858.39644660949,-849.2672154617309
2023-07-11,130273.42860935211,565.7649472808838
2023-07-12,131316.1476938629,1608.484031791687
2023-07-13,132313.74758003233,2606.0839179611203
2023-07-14,132323.78434776305,2616.1206856918334
2023-07-17,130780.44269626617,1072.7790341949462
2023-07-18,130617.85122394562,910.1875618743896
2023-07-19,132526.7125221634,2819.0488600921626
2023-07-20,135548.9385299301,5841.274867858887
2023-07-21,136702.94017532349,6995.276513252258
2023-07-24,136820.75023017882,7113.086568107605
2023-07-25,137009.38219444273,7301.71853237152
2023-07-26,136945.01778564454,7237.354123573303
2023-07-27,134282.61463306425,4574.950970993042
2023-07-28,134085.50256622315,4377.838904151917
2023-07-31,133354.1779749298,3646.5143128585814
2023-08-01,131903.9923889923,-89.24205081939317
2023-08-02,132012.4622871399,19.227847328189796
2023-08-03,128505.32469726563,-3487.9097425460777
2023-08-04,126895.36922622682,-5097.865213584896
2023-08-07,125943.01375087738,-6050.220688934323
2023-08-08,125870.15475017548,-6123.079689636227
2023-08-09,126413.27219486237,-5579.962244949337
2023-08-10,126092.07474155427,-5901.159698257443
2023-08-11,126631.54887104034,-5361.685568771359
2023-08-14,125503.75344055175,-6489.480999259945
2023-08-15,123506.93865215303,-8486.295787658688
2023-08-16,123899.57177261353,-8093.662667198178
2023-08-17,123470.34265991212,-8522.891779899594
2023-08-18,123805.87785797118,-8187.356581840511
2023-08-21,122945.24601230622,-9047.98842750549
2023-08-22,123237.71869380953,-8755.515746002195
2023-08-23,123589.30460643768,-8403.929833374019
2023-08-24,122507.1672624588,-9486.067177352903
2023-08-25,123621.15103443147,-8372.083405380245
2023-08-28,123778.2645205307,-8214.969919281002
2023-08-29,124049.73428382873,-7943.500155982968
2023-08-30,123502.72377109528,-8490.510668716428
2023-08-31,122390.21306064606,-9603.021379165646
2023-09-01,121257.88926048279,0.0
2023-09-05,119545.04132781982,-1712.8479326629638
2023-09-06,120504.37545637132,-753.5138041114808
2023-09-07,122308.64660728455,1050.7573468017576
2023-09-08,122931.94987894058,1674.0606184577941
2023-09-11,121999.4882181549,741.5989576721191
2023-09-12,122679.96334171295,1422.0740812301635
2023-09-13,124377.15473545075,3119.265474967957
2023-09-14,125536.8373105812,4278.948050098419
2023-09-15,125952.49918893815,4694.609928455353
2023-09-18,126015.75881790162,4757.869557418823
2023-09-19,126091.1944931984,4833.3052327156065
2023-09-20,126291.95217363359,5034.062913150788
2023-09-21,125294.07101633072,4036.1817558479306
2023-09-22,124907.87352130891,3649.984260826111
2023-09-25,124299.6976605797,3041.8084000968934
2023-09-26,120328.97631162644,-928.9129488563541
2023-09-27,118995.3849380684,-2262.5043224143983
2023-09-28,117365.06774885178,-3892.821511631012
2023-09-29,117467.31128212929,-3790.577978353501
2023-10-02,111545.77936832429,0.0
2023-10-03,111256.81597732546,-288.9633909988402
2023-10-04,110446.45149929047,-1099.3278690338136
2023-10-05,109090.81860305787,-2454.960765266419
2023-10-06,110525.85573482513,-1019.9236334991456
2023-10-09,110761.67623928071,-784.1031290435794
2023-10-10,113152.90705680847,1607.1276884841918
