,date,ticker,shares_holding,current_price,current_value,yesterday_value,return_change,pnl_dollar,entry_price,cum_pnl,weight,shares_change,is_rebalance_day,ym
17549,2024-05-01,XEL,977.1,49.94440460205078,48800.67773666382,47652.071668396,0.0009303956987432243,44.335282516479495,45.650700389583704,4195.378386001581,0.33398915952841984,22.110000000000014,True,202405
18180,2024-06-03,AEE,752.0499999999998,68.9608154296875,51861.98124389647,0.0,0.0,0.0,68.9608154296875,0.0,0.33333304962456756,752.0499999999998,True,202406
18183,2024-06-03,ATO,469.87,110.37553405761719,51862.15218765259,0.0,0.0,-0.0,110.37553405761719,0.0,0.3333341483331432,469.87,True,202406
18208,2024-06-03,WEC,684.06,75.81490325927734,51861.94272354126,0.0,0.0,0.0,75.81490325927734,0.0,0.3333328020422892,684.06,True,202406
18761,2024-07-01,ED,608.43,83.06399536132812,50538.62669769287,0.0,0.0,-0.0,83.06399536132812,0.0,0.33333404735579625,608.43,True,202407
18763,2024-07-01,ES,979.79,51.581031799316406,50538.57914665222,0.0,0.0,-0.0,51.581031799316406,0.0,0.333333733726759,979.79,True,202407
18766,2024-07-01,EXC,1560.14,32.393470764160156,50538.34947799683,0.0,0.0,-0.0,32.393470764160156,0.0,0.33333221891744474,1560.14,True,202407
19415,2024-08-01,CEG,326.09000000000003,175.4682159423828,57218.43053665162,0.0,0.0,-0.0,175.4682159423828,0.0,0.3333215630389587,326.09000000000003,True,202408
19417,2024-08-01,CNP,2135.3,26.79761505126953,57220.94741897583,0.0,0.0,0.0,26.79761505126953,0.0,0.3333362249432162,2135.3,True,202408
19431,2024-08-01,NRG,797.62,71.74089813232422,57221.975168304445,0.0,0.0,-0.0,71.74089813232422,0.0,0.33334221201782505,797.62,True,202408
20072,2024-09-03,AES,3836.2100000000005,15.244544982910156,58481.27590888978,0.0,0.0,-0.0,15.244544982910156,0.0,0.33269160726904157,3836.2100000000005,True,202409
20075,2024-09-03,CEG,333.24,176.0029754638672,58651.2315435791,63500.763168640144,-0.09618707862465657,-6107.952899627686,175.4796897467839,174.37973236083795,0.3336584605462736,7.149999999999977,True,202409
20077,2024-09-03,CNP,2223.77,26.37401008605957,58649.73240907669,55927.18177127839,0.006959799388363171,389.2419654846192,26.780762440040796,-904.5236822128302,0.3336499321846849,88.4699999999998,True,202409
20674,2024-10-01,AWK,529.49,139.4185333251953,73820.71921035767,0.0,0.0,-0.0,139.4185333251953,0.0,0.33333243926467937,529.49,True,202410
20680,2024-10-01,DUK,675.88,109.22215270996094,73821.0685736084,0.0,0.0,0.0,109.22215270996094,0.0,0.33333401679068836,675.88,True,202410
20694,2024-10-01,PNW,874.07,84.45658111572266,73820.9638558197,0.0,0.0,0.0,84.45658111572266,0.0,0.3333335439446322,874.07,True,202410
21364,2024-11-01,AWK,539.59,130.1635284423828,70234.93831222535,69989.5759590149,-0.015277836297847852,-1069.2892840576171,139.24529892626944,-4900.432535400387,0.3339859140951145,10.100000000000023,True,202411
21372,2024-11-01,EIX,949.55,73.74957275390625,70028.90680847167,0.0,0.0,-0.0,73.74957275390625,0.0,0.3330061791972541,949.55,True,202411
21377,2024-11-01,FE,1801.8199999999997,38.86585235595703,70029.27009201048,0.0,0.0,-0.0,38.86585235595703,0.0,0.3330079067076314,1801.8199999999997,True,202411
21962,2024-12-02,AES,5974.710000000001,11.966230392456055,71494.75638811113,0.0,0.0,-0.0,11.966230392456055,0.0,0.3330073951744494,5974.710000000001,True,202412
21964,2024-12-02,AWK,549.37,130.5216064453125,71704.65493286133,71124.11406372071,-0.009785154459302147,-695.9604418945313,139.08999792245825,-4707.217225799562,0.3339850580293129,9.779999999999973,True,202412
21979,2024-12-02,NEE,963.1200000000001,74.23248291015625,71494.7889404297,0.0,0.0,-0.0,74.23248291015625,0.0,0.3330075467962376,963.1200000000001,True,202412
22594,2025-01-02,AWK,569.7,119.22126007080078,67920.35186233521,65829.72554962158,-0.005060660693088245,-333.14190452575684,138.38097310145739,-10915.288513565069,0.3339732881488608,20.33000000000004,True,202501
22601,2025-01-02,ED,799.78,84.67990112304688,67725.29132019043,0.0,0.0,-0.0,84.67990112304688,0.0,0.3330141498513998,799.78,True,202501
22615,2025-01-02,SO,866.6400000000001,78.14659881591797,67724.96839782715,0.0,0.0,-0.0,78.14659881591795,1.2315695130382666e-11,0.3330125619997394,866.6400000000001,True,202501
23192,2025-02-03,AES,7011.750000000001,10.007031440734863,70166.80270457269,0.0,0.0,-0.0,10.007031440734863,0.0,0.33333284289079534,7011.750000000001,True,202502
23202,2025-02-03,EIX,1456.41,48.17808151245117,70167.03969554901,0.0,0.0,-0.0,48.17808151245117,0.0,0.33333396873482457,1456.41,True,202502
23212,2025-02-03,PCG,4692.76,14.952155113220215,70166.8754291153,0.0,0.0,-0.0,14.952155113220215,0.0,0.3333331883743802,4692.76,True,202502
23783,2025-03-03,PEG,953.62,77.89669036865234,74283.84186935425,0.0,0.0,0.0,77.89669036865234,0.0,0.3333342256075884,953.62,True,202503
23786,2025-03-03,SRE,1089.06,68.20911407470703,74283.81777420043,0.0,0.0,-0.0,68.20911407470703,0.0,0.33333411748529373,1089.06,True,202503
23787,2025-03-03,VST,604.25,122.93466186523438,74283.26943206787,0.0,0.0,-0.0,122.93466186523438,0.0,0.33333165690711786,604.25,True,202503
24395,2025-04-01,CEG,363.65000000000003,205.5769500732422,74758.05789413453,0.0,0.0,0.0,205.5769500732422,0.0,0.3326706828037203,363.65000000000003,True,202504
24416,2025-04-01,SRE,1087.53,68.94924926757812,74984.37705596923,74880.01231796264,0.0028025781899563684,209.8570893859863,68.20911407470703,804.9192263031006,0.33367779497624,-1.5299999999999727,True,202504
24417,2025-04-01,VST,617.37,121.44819641113281,74978.47301834107,70503.46144866943,0.04087191144303669,2881.6112327575684,122.9030723374669,-898.1967506408727,0.3336515222200397,13.120000000000005,True,202504
25022,2025-05-01,AES,8761.600000000002,9.463471412658691,82915.15112915041,0.0,0.0,0.0,9.463471412658691,0.0,0.3333336548631133,8761.600000000002,True,202505
25039,2025-05-01,NEE,1292.67,64.14241027832031,82914.96949447632,0.0,0.0,-0.0,64.14241027832031,0.0,0.3333329246594178,1292.67,True,202505
25043,2025-05-01,PEG,1097.56,75.54492950439453,82915.09282684326,0.0,0.0,-0.0,75.54492950439453,0.0,0.33333342047746883,1097.56,True,202505
25652,2025-06-02,AES,8956.930000000002,9.682226181030273,86723.0221476555,84081.80083007815,0.008919790849299081,749.9920776367189,9.468241949986327,1916.641778564457,0.333985797234878,195.32999999999993,True,202506
25656,2025-06-02,CMS,1268.95,68.14209747314453,86468.91458854676,0.0,0.0,-0.0,68.14209747314453,0.0,0.33300718378702276,1268.95,True,202506
25661,2025-06-02,ED,860.22,100.51948547363281,86468.87179412843,0.0,0.0,-0.0,100.51948547363281,0.0,0.33300701897809926,860.22,True,202506
26254,2025-07-01,AWK,627.29,138.90243530273438,87132.10864105224,0.0,0.0,0.0,138.90243530273438,0.0,0.33300927959663335,627.29,True,202507
26261,2025-07-01,ED,895.9,97.5385513305664,87384.78813705443,83546.62296844483,0.004284908766093643,357.9896571350098,100.40076716776764,-2564.259168548585,0.33397499267582864,35.67999999999995,True,202507
26272,2025-07-01,PCG,6231.95,13.981786727905273,87133.79579896927,0.0,0.0,0.0,13.981786727905273,0.0,0.333015727727538,6231.95,True,202507
26914,2025-08-01,AWK,626.53,141.98135375976562,88955.57757110595,85714.1399645996,0.039075739857473535,3349.3434353637695,138.90243530273438,1929.034780883789,0.33366711881071454,-0.7599999999999909,True,202508
26929,2025-08-01,NEE,1286.88,68.91996765136719,88691.72797119142,0.0,0.0,-0.0,68.91996765136719,0.0,0.3326774345412546,1286.88,True,202508
26932,2025-08-01,PCG,6366.53,13.971891403198242,88952.4657752037,86455.47477183341,0.007132617800726798,616.6538583278656,13.981577553865558,-61.667168807983344,0.3336554466480308,134.57999999999993,True,202508
27551,2025-09-02,ED,965.83,94.85124206542969,91610.17512405396,0.0,0.0,-0.0,94.85124206542969,0.0,0.3333305440383762,965.83,True,202509
27553,2025-09-02,ES,1504.01,60.91081237792969,91610.47092453003,0.0,0.0,-0.0,60.91081237792969,0.0,0.33333162033075836,1504.01,True,202509
27561,2025-09-02,NRG,636.87,143.8475341796875,91612.17909301758,0.0,0.0,-0.0,143.8475341796875,0.0,0.3333378356308655,636.87,True,202509
28174,2025-10-01,AWK,745.61,133.33749389648438,99417.76882415771,0.0,0.0,-0.0,133.33749389648438,0.0,0.33332923495934674,745.61,True,202510
28194,2025-10-01,PNW,1160.58,85.6650619506836,99421.15759872436,0.0,0.0,-0.0,85.6650619506836,0.0,0.33334059688837725,1160.58,True,202510
28197,2025-10-01,VST,495.42,200.6742706298828,99418.04715545654,0.0,0.0,0.0,200.6742706298828,0.0,0.33333016815227595,495.42,True,202510
28864,2025-11-03,AWK,781.58,123.4403076171875,96478.47562744141,93835.6886115265,-0.019154341761334237,-1797.3608490753174,132.88200400361825,-7379.441061706545,0.3336388463462619,35.97000000000003,True,202511
28868,2025-11-03,D,1697.94,56.65985870361328,96205.04048721313,0.0,0.0,-0.0,56.65985870361328,0.0,0.33269326149800443,1697.94,True,202511
28887,2025-11-03,VST,501.91,192.23939514160156,96486.87481552124,92900.69938659668,0.025172488150212585,2338.5417544555667,200.56520258597266,-4178.806014404296,0.33366789215573367,6.490000000000009,True,202511
29434,2025-12-01,AWK,742.7,129.193603515625,95952.0893310547,100258.30269622803,0.0071498710853513114,716.8339395141602,132.88200400361825,-2739.3750424325863,0.3336794147652224,-38.879999999999995,True,202512
29443,2025-12-01,ES,1486.6,64.35934448242188,95676.60150756835,0.0,0.0,-0.0,64.35934448242188,0.0,0.33272138856322164,1486.6,True,202512
29457,2025-12-01,VST,554.76,172.91986083984375,95929.02199951172,89399.31070022583,-0.029184826210223374,-2609.1033460998538,197.93152980624282,-13875.473475799548,0.3335991966715559,52.849999999999966,True,202512
30105,2026-01-02,EVRG,1322.18,71.8669204711914,95021.00490859986,0.0,0.0,0.0,71.8669204711914,0.0,0.33333438470048976,1322.18,True,202601
30108,2026-01-02,LNT,1471.42,64.57752227783203,95020.65783004761,0.0,0.0,0.0,64.57752227783203,0.0,0.33333316714637345,1471.42,True,202601
30119,2026-01-02,XEL,1291.44,73.57713317871094,95020.45287231446,0.0,0.0,0.0,73.57713317871094,0.0,0.33333244815313684,1291.44,True,202601
30695,2026-02-02,CEG,355.5,270.09783935546875,96019.78189086914,0.0,0.0,-0.0,270.09783935546875,0.0,0.3333285879716896,355.5,True,202602
30716,2026-02-02,SRE,1129.48,85.01549530029297,96023.3016317749,0.0,0.0,-0.0,85.01549530029297,0.0,0.33334080660250753,1129.48,True,202602
30717,2026-02-02,VST,624.1800000000001,153.83441162109375,96020.3630456543,0.0,0.0,-0.0,153.83441162109375,0.0,0.3333306054258029,624.1800000000001,True,202602
31265,2026-03-02,CEG,333.22,326.21533203125,108701.47293945313,116933.72277832031,-0.008245459208023234,-964.1722412109375,270.09783935546875,18699.47090942383,0.33365752216156624,-22.279999999999973,True,202603
31268,2026-03-02,D,1736.37,62.4249267578125,108392.77007446288,0.0,0.0,-0.0,62.4249267578125,0.0,0.33270996340057135,1736.37,True,202603
31287,2026-03-02,VST,656.6300000000001,165.53207397460938,108693.32573394777,108239.21799774171,-0.04543092748852469,-4917.40806427002,154.41249843310598,7301.446887817375,0.33363251443786246,32.450000000000045,True,202603
